,index,Город / Нас.пункт,GPS. Широта,GPS. Долгота,номер,город,links
10,10,петропавловск_камчатский,53.071117,158.59212,78,Петропавловск-Камчатский,"['https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/DNS/?ll=158.59212,53.071117&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/m_video/?ll=158.59212,53.071117&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/megafon/?ll=158.59212,53.071117&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/mts/?ll=158.59212,53.071117&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/svyaznoy/?ll=158.59212,53.071117&rspn=1&spn=0.003,0.003']"
11,11,петропавловск_камчатский,53.056988,158.635059,78,Петропавловск-Камчатский,"['https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/DNS/?ll=158.635059,53.056988&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/m_video/?ll=158.635059,53.056988&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/megafon/?ll=158.635059,53.056988&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/mts/?ll=158.635059,53.056988&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/78/petropavlovsk_kamchatskij/search/svyaznoy/?ll=158.635059,53.056988&rspn=1&spn=0.003,0.003']"
12,12,владивосток,43.124835,131.920496,75,Владивосток,"['https://yandex.ru/maps/75/vladivostok/search/DNS/?ll=131.920496,43.124835&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/m_video/?ll=131.920496,43.124835&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/megafon/?ll=131.920496,43.124835&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/mts/?ll=131.920496,43.124835&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/svyaznoy/?ll=131.920496,43.124835&rspn=1&spn=0.003,0.003']"
13,13,владивосток,43.092097,131.973011,75,Владивосток,"['https://yandex.ru/maps/75/vladivostok/search/DNS/?ll=131.973011,43.092097&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/m_video/?ll=131.973011,43.092097&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/megafon/?ll=131.973011,43.092097&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/mts/?ll=131.973011,43.092097&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/svyaznoy/?ll=131.973011,43.092097&rspn=1&spn=0.003,0.003']"
14,14,владивосток,43.102055,131.917305,75,Владивосток,"['https://yandex.ru/maps/75/vladivostok/search/DNS/?ll=131.917305,43.102055&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/m_video/?ll=131.917305,43.102055&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/megafon/?ll=131.917305,43.102055&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/mts/?ll=131.917305,43.102055&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/svyaznoy/?ll=131.917305,43.102055&rspn=1&spn=0.003,0.003']"
15,15,владивосток,43.100829,131.894893,75,Владивосток,"['https://yandex.ru/maps/75/vladivostok/search/DNS/?ll=131.894893,43.100829&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/m_video/?ll=131.894893,43.100829&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/megafon/?ll=131.894893,43.100829&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/mts/?ll=131.894893,43.100829&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/75/vladivostok/search/svyaznoy/?ll=131.894893,43.100829&rspn=1&spn=0.003,0.003']"
16,20,хабаровск,48.49474,135.072873,76,Хабаровск,"['https://yandex.ru/maps/76/habarovsk/search/DNS/?ll=135.072873,48.49474&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/m_video/?ll=135.072873,48.49474&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/megafon/?ll=135.072873,48.49474&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/mts/?ll=135.072873,48.49474&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/svyaznoy/?ll=135.072873,48.49474&rspn=1&spn=0.003,0.003']"
17,21,хабаровск,48.485476,135.067298,76,Хабаровск,"['https://yandex.ru/maps/76/habarovsk/search/DNS/?ll=135.067298,48.485476&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/m_video/?ll=135.067298,48.485476&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/megafon/?ll=135.067298,48.485476&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/mts/?ll=135.067298,48.485476&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/svyaznoy/?ll=135.067298,48.485476&rspn=1&spn=0.003,0.003']"
18,22,хабаровск,48.487939,135.069283,76,Хабаровск,"['https://yandex.ru/maps/76/habarovsk/search/DNS/?ll=135.069283,48.487939&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/m_video/?ll=135.069283,48.487939&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/megafon/?ll=135.069283,48.487939&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/mts/?ll=135.069283,48.487939&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/svyaznoy/?ll=135.069283,48.487939&rspn=1&spn=0.003,0.003']"
19,23,хабаровск,48.543866,135.041406,76,Хабаровск,"['https://yandex.ru/maps/76/habarovsk/search/DNS/?ll=135.041406,48.543866&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/m_video/?ll=135.041406,48.543866&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/megafon/?ll=135.041406,48.543866&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/mts/?ll=135.041406,48.543866&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/76/habarovsk/search/svyaznoy/?ll=135.041406,48.543866&rspn=1&spn=0.003,0.003']"
